datetime,Ingresos (miles de pesos)
2014-01-01,2984054.0
2014-04-01,3270816.0
2014-07-01,3478638.0
2014-10-01,3950441.0
2015-01-01,4876385.0
2015-04-01,4701791.0
2015-07-01,5153739.0
2015-10-01,5376899.0
2016-01-01,5936845.0
2016-04-01,6534241.0
2016-07-01,6912442.0
2016-10-01,7483980.0
2017-01-01,8701201.0
2017-04-01,9678647.0
2017-07-01,10065998.0
2017-10-01,11226127.0
2018-01-01,13171459.0
2018-04-01,14319467.0
2018-07-01,15410981.0
2018-10-01,16637687.0
2019-01-01,20207414.0
2019-04-01,20743118.0
2019-07-01,21652748.0
2019-10-01,24169251.0
2020-01-01,29946216.0
2020-04-01,32102476.0
2020-07-01,31997445.0
2020-10-01,33539703.0
2021-01-01,36676371.0
2021-04-01,38239667.0
2021-07-01,42999944.0
2021-10-01,45467887.0
2022-01-01,55589997.0
2022-04-01,60335724.0
2022-07-01,67055930.0
